"error_severity","event_message","id","identifier","timestamp"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","2b7d1f50-1aba-4543-9631-b99f83363a22","oieoxgngqydvjzbyfrav","1738393774388000"
"LOG","connection received: host=::1 port=51287","abc0c949-978f-4eda-b445-119b98ad6c07","oieoxgngqydvjzbyfrav","1738393774371000"
"LOG","connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)","8968d1af-e481-4918-981b-14a5dfe632b4","oieoxgngqydvjzbyfrav","1738393758524000"
"LOG","connection received: host=::1 port=2271","66cf93d6-3b9c-49c3-8524-f2ea73d1effb","oieoxgngqydvjzbyfrav","1738393758515000"
"LOG","Daily goals updated successfully","8db30456-1290-4bda-a71e-ff196ccada24","oieoxgngqydvjzbyfrav","1738393752687000"
"LOG","Checking achievement: Streak Starter (Type: streak_days, Value: 3)","f07eb083-3ca2-4ea6-af19-c1c59ec4e1a8","oieoxgngqydvjzbyfrav","1738393752686000"
"LOG","Checking achievement: Streak Champion (Type: streak_days, Value: 30)","c4c95a28-1494-4b7b-96db-23e72c5cb6eb","oieoxgngqydvjzbyfrav","1738393752686000"
"LOG","XP transaction inserted successfully","05526bf8-5918-4c55-9109-586201f2ce51","oieoxgngqydvjzbyfrav","1738393752686000"
"LOG","Checking achievement: XP Master (Type: total_xp, Value: 5000)","5f64ced9-83d7-4f8d-b9c4-937e787b8e5a","oieoxgngqydvjzbyfrav","1738393752686000"
"LOG","Checking achievement: Language Explorer (Type: lessons_completed, Value: 100)","6b3ad8c1-b5c9-44ca-a592-5ca6484ac7e0","oieoxgngqydvjzbyfrav","1738393752686000"
"LOG","Checking achievement: First Steps (Type: lessons_completed, Value: 1)","7d4830cb-ac1a-4ebf-9ab6-f114248d85a1","oieoxgngqydvjzbyfrav","1738393752686000"
